,dealer_up_card,dealer_up_card_value,dealer_final_hand_value,dealer_busted,dealer_blackjack,dealer_final_hand,player_hand,player_hand_value,player_busted,player_blackjack,player_won,player_stack
54,AH,1,17,False,False,"[<Card.Card object at 0x000001E822082370>, <Card.Card object at 0x000001E82205E940>, <Card.Card object at 0x000001E822077070>, <Card.Card object at 0x000001E82207DA30>, <Card.Card object at 0x000001E822074AF0>]","[<Card.Card object at 0x000001E82201B310>, <Card.Card object at 0x000001E822026F40>, <Card.Card object at 0x000001E822013100>]",20,False,False,1,
55,6S,6,22,True,False,"[<Card.Card object at 0x000001E822082400>, <Card.Card object at 0x000001E8220223A0>, <Card.Card object at 0x000001E822064430>]","[<Card.Card object at 0x000001E822082EB0>, <Card.Card object at 0x000001E822087220>, <Card.Card object at 0x000001E822024BE0>]",16,False,False,0,
56,2C,2,20,False,False,"[<Card.Card object at 0x000001E8220263D0>, <Card.Card object at 0x000001E8220135E0>, <Card.Card object at 0x000001E822022580>]","[<Card.Card object at 0x000001E822087EB0>, <Card.Card object at 0x000001E822082880>]",21,False,True,1,
57,9H,9,19,False,False,"[<Card.Card object at 0x000001E822026E20>, <Card.Card object at 0x000001E82205ED60>]","[<Card.Card object at 0x000001E82201BF70>, <Card.Card object at 0x000001E822077100>]",16,False,False,0,
58,TD,10,20,False,False,"[<Card.Card object at 0x000001E822024D60>, <Card.Card object at 0x000001E822026160>]","[<Card.Card object at 0x000001E822087460>, <Card.Card object at 0x000001E82207D460>]",21,False,True,1,
59,QS,10,20,False,False,"[<Card.Card object at 0x000001E82201B7C0>, <Card.Card object at 0x000001E8220775E0>]","[<Card.Card object at 0x000001E8220748E0>, <Card.Card object at 0x000001E822064490>]",17,False,False,0,
60,QS,10,20,False,False,"[<Card.Card object at 0x000001E82200CDF0>, <Card.Card object at 0x000001E8220827C0>]","[<Card.Card object at 0x000001E8220240A0>, <Card.Card object at 0x000001E822024640>]",16,False,False,0,
61,KH,10,25,True,False,"[<Card.Card object at 0x000001E8220774C0>, <Card.Card object at 0x000001E8220828E0>, <Card.Card object at 0x000001E822077FD0>]","[<Card.Card object at 0x000001E82208C550>, <Card.Card object at 0x000001E822064E20>]",17,False,False,0,
62,QD,10,20,False,False,"[<Card.Card object at 0x000001E8220131C0>, <Card.Card object at 0x000001E822082760>, <Card.Card object at 0x000001E822013EB0>]","[<Card.Card object at 0x000001E8220828B0>, <Card.Card object at 0x000001E822026730>]",19,False,False,0,
63,7H,7,18,False,False,"[<Card.Card object at 0x000001E8220747C0>, <Card.Card object at 0x000001E822064AC0>, <Card.Card object at 0x000001E822074D00>]","[<Card.Card object at 0x000001E8220268E0>, <Card.Card object at 0x000001E822087CD0>]",12,False,False,0,
